"","mean_def_obs","emmean","SE","df","lower.CL","upper.CL","variable","significant","sp_id"
"1",24.8584905660377,25.611320754717,0.69142528578233,51,24.2232265725944,26.9994149368396,"height","yes","Abialba"
"2",23.3783783783784,881.299783783784,61.6373520169175,35,756.169306777883,1006.43026078969,"mean_1980","no","Abialba"
"3",24.8584905660377,44.7114184682611,1.09147174025364,51,42.5201975167695,46.9026394197526,"sla_22","yes","Abialba"
"4",24.8584905660377,1.17017837247182,0.0206616812238993,51,1.12869831657928,1.21165842836436,"percent_n","no","Abialba"
"5",24.8584905660377,1385.86820923301,44.2971905850871,51,1296.9378883438,1474.79853012222,"total_chl_fw_22","yes","Abialba"
"6",24.8584905660377,54.1520366886665,1.09698643241931,51,51.9497445306848,56.3543288466482,"xc_fw_22","yes","Abialba"
"7",24.8584905660377,-28.5011818787812,0.166727988384926,51,-28.8359022823201,-28.1664614752422,"leaf_d13c","no","Abialba"
"8",24.8584905660377,35.5194985907848,0.180196014993968,51,35.1577399956073,35.8812571859623,"leaf_d18o_corrected","no","Abialba"
"9",36.9128787878788,14.5151515151515,0.196493983040801,130,14.1264116693154,14.9038913609877,"height","yes","Pinsylv"
"10",36.6393442622951,503.833147540984,23.0229804763938,120,458.249248480153,549.417046601815,"mean_1980","no","Pinsylv"
"11",37.116935483871,45.8258881863566,0.96223223417202,122,43.9210533725138,47.7307230001994,"sla_22","no","Pinsylv"
"12",36.8984962406015,1.50845160887085,0.0417494505474291,131,1.42586123680623,1.59104198093546,"percent_n","yes","Pinsylv"
"13",36.7424242424242,1082.6367616302,22.7667970559119,130,1037.59537644,1127.67814682041,"total_chl_fw_22","yes","Pinsylv"
"14",36.7424242424242,37.2708964324869,0.604032933085256,130,36.0758895134263,38.4659033515474,"xc_fw_22","no","Pinsylv"
"15",36.8984962406015,-26.7439595125045,0.131319410625294,131,-27.0037406315525,-26.4841783934566,"leaf_d13c","no","Pinsylv"
"16",36.8984962406015,36.190985587083,0.217470991603506,131,35.7607760903283,36.6211950838377,"leaf_d18o_corrected","no","Pinsylv"
"17",23.8983050847458,12.6881355932203,0.460991914901897,57,11.7650152066169,13.6112559798238,"height","yes","Pinpine"
"18",23.7931034482759,892.078413793103,50.2663122124334,56,791.382890382836,992.77393720337,"mean_1980","yes","Pinpine"
"19",23.6111111111111,42.2697661171504,0.554630170662984,52,41.1568192571987,43.3827129771021,"sla_22","yes","Pinpine"
"20",23.4051724137931,0.977869282311192,0.018959551278825,56,0.939888737178365,1.01584982744402,"percent_n","no","Pinpine"
"21",23.8983050847458,663.128942040497,18.9638839720973,57,625.154419412369,701.103464668624,"total_chl_fw_22","yes","Pinpine"
"22",23.8983050847458,27.4768587334516,0.630481744850674,57,26.2143408166746,28.7393766502286,"xc_fw_22","yes","Pinpine"
"23",23.4051724137931,-25.1627850899816,0.169243172226972,56,-25.5018199039737,-24.8237502759896,"leaf_d13c","yes","Pinpine"
"24",23.4051724137931,35.2587079596527,0.156144347563812,56,34.9459132445949,35.5715026747104,"leaf_d18o_corrected","no","Pinpine"
